Referencia,Sec.Trans,Termin,Episode,L.mm,A.mm,G.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2
ML_IR_201,Triangular,Feather,0,63.8,48.5,9.3,9.3,28.74,28.74,0,0,11.4,0,10.2,0,9.6
ML_IR_202,Triangular,Feather,0,62.6,43.6,11.2,11.2,31.69,31.69,0,0,12.2,0,10,0,6.3
ML_IR_203,Triangular,Plunging,0,85.6,66.4,16.8,16.8,88.65,88.65,0,0,17.3,0,15.8,0,17.8
ML_IR_204,Trapezoidal,Feather,0,78.2,54.5,19,19,95.66,95.66,0,0,20.5,0,18.5,0,18.2
ML_IR_205,Triangular,Feather,0,62.5,51.7,15.9,15.9,42.44,42.44,0,0,14.2,0,13.4,0,10.3
ML_IR_206,Triangular Asymmetric,Feather,0,66.7,56.3,24,24,50.93,50.93,0,0,24,0,23.8,0,12.4
ML_IR_207,Triangular,Feather,0,72.2,37.7,11.8,11.8,36.46,36.46,0,0,12,0,11.6,0,9.7
ML_IR_208,Triangular Asymmetric,Feather,0,70.9,43.4,12,12,35.34,35.34,0,0,9.2,0,11.1,0,5.7
ML_IR_209,Triangular Asymmetric,Feather,0,68.5,66.8,23.1,23.1,78.7,78.7,0,0,22.9,0,21.6,0,16.1
ML_IR_210,Triangular,Feather,0,103.7,52.8,19,19,81.7,81.7,0,0,20.7,0,17.5,0,10.4
ML_IR_201,Triangular,Feather,1,63.8,48.5,9.3,9.3,28.74,28.12,0.619999999999997,5.6,11.4,3.6,10.2,2.2,9.6
ML_IR_202,Triangular,Feather,1,62.6,43.6,11.2,13.3,31.69,31.28,0.41,4.3,12.2,4.2,10,2.3,6.3
ML_IR_203,Triangular,Plunging,1,85.6,66.4,16.8,17,88.65,86.84,1.81,4.2,17.3,3.1,15.8,3.4,17.8
ML_IR_204,Trapezoidal,Feather,1,78.2,54.5,19,20.4,95.66,94.01,1.64999999999999,7.4,20.5,4.6,18.5,5.1,18.2
ML_IR_205,Triangular,Feather,1,62.5,51.7,15.9,15.9,42.44,41.47,0.969999999999999,2.4,14.2,4.1,13.4,1.6,10.3
ML_IR_206,Triangular Asymmetric,Feather,1,66.7,56.3,24,24,50.93,48.89,2.04,4.4,24,4.4,23.8,5,12.4
ML_IR_207,Triangular,Feather,1,72.2,37.7,11.8,13.4,36.46,35.88,0.579999999999998,3.1,12,2.9,11.6,3.4,9.7
ML_IR_208,Triangular Asymmetric,Feather,1,70.9,43.4,12,12,35.34,34.54,0.800000000000004,6.3,9.2,7.9,11.1,4.6,5.7
ML_IR_209,Triangular Asymmetric,Feather,1,68.5,66.8,23.1,23.1,78.7,77.44,1.26000000000001,2.4,22.9,3,21.6,3.2,16.1
ML_IR_210,Triangular,Feather,1,103.7,52.8,19,19,81.7,80.14,1.56,4.5,20.7,5.5,17.5,4.2,10.4
ML_IR_136,Triangular Asymmetric,Feather,0,56.3,46.8,9.8,12.4,23.35,23.35,0,0,11.9,0,10.8,0,9.6
ML_IR_137,Triangular Asymmetric,Feather,0,94.3,74.4,25.5,25.5,110.35,110.35,0,0,25.5,0,12.4,0,5.7
ML_IR_138,Triangular,Feather,0,44.2,37,14.5,19.9,22.27,22.27,0,0,18.8,0,10.1,0,9.3
ML_IR_139,Trapezoidal,Feather,0,62.6,46.1,12.3,13,33.64,33.64,0,0,13,0,13,0,12
ML_IR_140,Trapezoidal,Feather,0,45.3,43.1,9.7,10.3,17.08,17.08,0,0,10.2,0,9.1,0,6.1
ML_IR_141,Triangular Asymmetric,Feather,0,62.2,43.9,11.4,13.3,26.05,26.05,0,0,9.2,0,8.5,0,6.7
ML_IR_142,Triangular Asymmetric,Feather,0,59.8,46.2,11.2,13.3,34.43,34.43,0,0,14.2,0,11.8,0,12.3
ML_IR_143,Circular,Hinge,0,74.6,52.8,14.1,18.1,57.97,57.97,0,0,14,0,10.7,0,11.1
ML_IR_144,Circular,Feather,0,69.6,52.8,15,15,33.57,33.57,0,0,16.1,0,12.5,0,12.2
ML_IR_145,Triangular,Feather,0,64.3,51.3,11.2,17.8,33.27,33.27,0,0,15,0,12.9,0,9.1
ML_IR_146,Triangular,Feather,0,53.7,26.5,8.9,10,13.38,13.38,0,0,9.7,0,8.9,0,8.1
ML_IR_147,Circular,Feather,0,77.8,45,15.1,18.4,53.59,53.59,0,0,19.7,0,14.8,0,9.7
ML_IR_148,Triangular,Hinge,0,62.8,49.8,15.6,19.8,48.57,48.57,0,0,16.4,0,14.2,0,12.4
ML_IR_149,Triangular,Feather,0,57,37.2,14,15.7,21.67,21.67,0,0,14.5,0,13.3,0,9.3
ML_IR_150,Triangular,Feather,0,35.3,33.5,10.3,12.7,11.46,11.46,0,0,11.5,0,10.9,0,9.9
ML_IR_136,Triangular Asymmetric,Feather,1,56.3,46.8,9.8,12.4,23.35,22.37,0.98,4.5,11.9,2.7,10.8,1.1,9.6
ML_IR_137,Triangular Asymmetric,Feather,1,94.3,74.4,25.5,25.5,110.35,107.53,2.81999999999999,8.3,25.5,3.9,12.4,4,5.7
ML_IR_138,Triangular,Feather,1,44.2,37,14.5,19.9,22.27,21.84,0.43,3.5,18.8,3.1,10.1,4,9.3
ML_IR_139,Trapezoidal,Feather,1,62.6,46.1,12.3,13,33.64,33.27,0.369999999999997,5.7,13,5.2,13,4.4,12
ML_IR_140,Trapezoidal,Feather,1,45.3,43.1,9.7,10.3,17.08,16.66,0.419999999999998,3.1,10.2,3.9,9.1,2.9,6.1
ML_IR_141,Triangular Asymmetric,Feather,1,62.2,43.9,11.4,13.3,26.05,25.28,0.77,3.9,9.2,5.5,8.5,2,6.7
ML_IR_142,Triangular Asymmetric,Feather,1,59.8,46.2,11.2,13.3,34.43,33.14,1.29,2.6,14.2,3.7,11.8,2.7,12.3
ML_IR_143,Circular,Hinge,1,74.6,52.8,14.1,18.1,57.97,56.63,1.34,3.7,14,2.9,10.7,2.6,11.1
ML_IR_144,Circular,Feather,1,69.6,52.8,15,15,33.57,32.67,0.899999999999999,2.4,16.1,2.4,12.5,1.5,12.2
