Flake.ID,Sec.Trans,Termin,Episode,L.mm,W.mm,T.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2,Mean.Edge.Angle.Selected.ret
ML_IR_201,Triangular,Feather,0,63.8,48.5,9.3,9.3,28.74,28.74,0,0,11.4,0,10.2,0,9.6,34.67
ML_IR_202,Triangular,Feather,0,62.6,43.6,11.2,11.2,31.69,31.69,0,0,12.2,0,10,0,6.3,33.33
ML_IR_203,Triangular,Plunging,0,85.6,66.4,16.8,16.8,88.65,88.65,0,0,17.3,0,15.8,0,17.8,32.67
ML_IR_204,Trapezoidal,Feather,0,78.2,54.5,19,19,95.66,95.66,0,0,20.5,0,18.5,0,18.2,59.67
ML_IR_205,Triangular,Feather,0,62.5,51.7,15.9,15.9,42.44,42.44,0,0,14.2,0,13.4,0,10.3,27.67
ML_IR_206,Triangular Asymmetric,Feather,0,66.7,56.3,24,24,50.93,50.93,0,0,24,0,23.8,0,12.4,45
ML_IR_207,Triangular,Feather,0,72.2,37.7,11.8,11.8,36.46,36.46,0,0,12,0,11.6,0,9.7,41.33
ML_IR_208,Triangular Asymmetric,Feather,0,70.9,43.4,12,12,35.34,35.34,0,0,9.2,0,11.1,0,5.7,49
ML_IR_209,Triangular Asymmetric,Feather,0,68.5,66.8,23.1,23.1,78.7,78.7,0,0,22.9,0,21.6,0,16.1,32.67
ML_IR_210,Triangular,Feather,0,103.7,52.8,19,19,81.7,81.7,0,0,20.7,0,17.5,0,10.4,57.67
ML_IR_136,Triangular Asymmetric,Feather,0,56.3,46.8,9.8,12.4,23.35,23.35,0,0,11.9,0,10.8,0,9.6,46.67
ML_IR_137,Triangular Asymmetric,Feather,0,94.3,74.4,25.5,25.5,110.35,110.35,0,0,25.5,0,12.4,0,5.7,50
ML_IR_138,Triangular,Feather,0,44.2,37,14.5,19.9,22.27,22.27,0,0,18.8,0,10.1,0,9.3,42.33
ML_IR_139,Trapezoidal,Feather,0,62.6,46.1,12.3,13,33.64,33.64,0,0,13,0,13,0,12,72.33
ML_IR_140,Trapezoidal,Feather,0,45.3,43.1,9.7,10.3,17.08,17.08,0,0,10.2,0,9.1,0,6.1,45.67
ML_IR_141,Triangular Asymmetric,Feather,0,62.2,43.9,11.4,13.3,26.05,26.05,0,0,9.2,0,8.5,0,6.7,51
ML_IR_142,Triangular Asymmetric,Feather,0,59.8,46.2,11.2,13.3,34.43,34.43,0,0,14.2,0,11.8,0,12.3,37
ML_IR_143,Circular,Hinge,0,74.6,52.8,14.1,18.1,57.97,57.97,0,0,14,0,10.7,0,11.1,39.67
ML_IR_144,Circular,Feather,0,69.6,52.8,15,15,33.57,33.57,0,0,16.1,0,12.5,0,12.2,64
ML_IR_145,Triangular,Feather,0,64.3,51.3,11.2,17.8,33.27,33.27,0,0,15,0,12.9,0,9.1,39.67
ML_IR_146,Triangular,Feather,0,53.7,26.5,8.9,10,13.38,13.38,0,0,9.7,0,8.9,0,8.1,42
ML_IR_147,Circular,Feather,0,77.8,45,15.1,18.4,53.59,53.59,0,0,19.7,0,14.8,0,9.7,52.67
ML_IR_148,Triangular,Hinge,0,62.8,49.8,15.6,19.8,48.57,48.57,0,0,16.4,0,14.2,0,12.4,29.33
ML_IR_149,Triangular,Feather,0,57,37.2,14,15.7,21.67,21.67,0,0,14.5,0,13.3,0,9.3,36.67
ML_IR_150,Triangular,Feather,0,35.3,33.5,10.3,12.7,11.46,11.46,0,0,11.5,0,10.9,0,9.9,40
ML_IR_196,Trapezoidal Asymmetric,Feather,0,70.5,51.5,7.2,7.3,24.08,24.08,0,0,7.3,0,5.7,0,5.4,41.33
ML_IR_197,Triangular Asymmetric,Feather,0,65.7,47.2,16.2,20.8,48.55,48.55,0,0,20.8,0,16,0,14,45.67
ML_IR_198,Trapezoidal,Feather,0,65.4,71.8,15.9,16,52.57,52.57,0,0,15,0,11.6,0,8.4,35.33
ML_IR_199,Triangular,Feather,0,77.8,74,20.4,20.4,83.17,83.17,0,0,19.4,0,17.6,0,9.7,68.33
ML_IR_200,Triangular Asymmetric,Feather,0,48.2,52.3,19.8,20,46.64,46.64,0,0,20,0,17.3,0,9.8,35.67
ML_IR_151,Trapezoidal,Feather,0,65.3,53.5,10.6,12.4,35.61,35.61,0,0,12.4,0,10.7,0,9.4,39.67
ML_IR_152,Trapezoidal Asymmetric,Feather,0,58.1,45.1,11,11.3,24.54,24.54,0,0,11.2,0,10.5,0,6.4,43.67
ML_IR_153,Circular,Feather,0,55.5,44.6,8.5,11.7,17.39,17.39,0,0,10.1,0,8,0,3.6,33
ML_IR_154,Triangular,Feather,0,57.4,33.9,6,7.2,10.68,10.68,0,0,5.8,0,6.2,0,5,25
ML_IR_155,Trapezoidal Asymmetric,Feather,0,78,51.7,28.9,29,94.12,94.12,0,0,20.7,0,29,0,20.9,70.67
ML_IR_156,Triangular,Feather,0,49.3,42.3,8.6,18.2,20.3,20.3,0,0,13.2,0,8.8,0,6.7,34
ML_IR_157,Triangular,Feather,0,46.2,43.6,17.1,20.1,29.1,29.1,0,0,18.7,0,15.2,0,11.4,40.33
ML_IR_158,Triangular,Feather,0,54.4,62.1,11.8,19.2,22.69,22.69,0,0,17.2,0,11.6,0,5.9,43.33
ML_IR_159,Trapezoidal,Feather,0,62.8,37.1,11.3,14.2,27.1,27.1,0,0,12.5,0,9.3,0,8.9,61
ML_IR_160,Triangular,Feather,0,42.5,41.5,9.1,14.2,12.73,12.73,0,0,12,0,8.6,0,5.9,21.67
