Artifact.ID,Frag+AF8-Cat,Complete,Length,Max.Length,Width,Prox.Width,Dist.Width,Prox.Thick,Mid.Thick,Dist.Thick,Plane.Height,Platform.Morph,Platform.x,Platform.y,Platform.z,Platform.Profile,Platform.Preparation,Cortex,Cortex+AF8-Loc,No.Scars,Long.Ridges,Trans.Section,Termination.type,Flake.Type,Weight,EPA,IPA,Angle.1.1,Angle.1.2,Angle.1.3,Angle.2.1,Angle.2.2,Angle.2.3,Angle.3.1,Angle.3.2,Angle.3.3,Mean.Left.Edge,Mean.Right.Edge,Mean.Edge.Angle.Selected.ret,Max.Thick.mm
ML+AF8-IR+AF8-201,C,Y,63.8,71.1,48.5,37,29.4,8.3,9.3,7.8,11.1,Ellipse,18.6,4.9,NA,CX,L,5,5,4,0,Triangular,Feather,Flake,28.74,74,115,39,35,39,NA,35,NA,35,36,33,37.67,34.67,34.67,9.3
ML+AF8-IR+AF8-202,C,Y,62.6,62.6,43.6,35.5,24.8,13.3,11.2,7.3,12.5,Trapezoid,16.9,25.4,9.5,CX,MF,5,5,3,0,Triangular,Feather,Flake,31.69,72,113,66,39,40,NA,37,NA,36,34,30,48.33,33.33,33.33,11.2
ML+AF8-IR+AF8-203,C,Y,85.6,87.8,66.4,51,56,17,16.8,16,20.7,Trapezoid,10.7,21,6.3,CX,L,4,3,2,0,Triangular,Plunging,Flake,88.65,79,109,60,45,45,NA,77,NA,42,25,31,50,32.67,32.67,16.8
ML+AF8-IR+AF8-204,C,Y,78.2,78.2,54.5,47.4,33.5,20.4,19,15.3,22.7,Triangular,42.5,16.3,NA,CX,L,3,2,3,0,Trapezoidal,Feather,Flake,95.66,75,109,68,80,90,NA,90,NA,72,59,48,79.33,59.67,59.67,19
ML+AF8-IR+AF8-205,C,Y,62.5,62.5,51.7,39.6,37.4,13.6,15.9,9.7,16.2,Trapezoid,15.5,22.4,9.8,RT,L,5,5,4,0,Triangular,Feather,Backed Flake,42.44,77,109,NA,NA,NA,NA,42,NA,30,28,25,+ACM-DIV/0+ACE-,27.67,27.67,15.9
ML+AF8-IR+AF8-206,C,Y,66.7,66.7,56.3,32.3,50.4,18.1,24,4.8,25.1,Triangular,25.1,13.3,NA,CX,MF,5,5,2,0,Triangular Asymmetric,Feather,Backed Flake,50.93,79,106,NA,NA,NA,NA,30,NA,42,52,41,+ACM-DIV/0+ACE-,45,45,24
ML+AF8-IR+AF8-207,C,Y,72.2,74.1,37.7,33.5,27.3,13.4,11.8,9.7,12.9,Triangular,32.9,10.3,NA,BF,D,4,3,2,0,Triangular,Feather,Flake,36.46,70,110,50,47,55,NA,80,NA,44,40,40,50.67,41.33,41.33,11.8
ML+AF8-IR+AF8-208,C,Y,70.9,70.9,43.4,36.1,30.6,9.8,12,6.9,16.7,Ellipse,21.8,10.5,NA,CX,L,5,5,4,0,Triangular Asymmetric,Feather,Backed Flake,35.34,68,115,NA,NA,NA,NA,20,NA,61,56,30,+ACM-DIV/0+ACE-,49,49,12
ML+AF8-IR+AF8-209,C,Y,68.5,68.5,66.8,50.4,63.8,19.8,23.1,8.3,23.4,Trapezoid,24.5,38.4,10.6,CX,L,3,2,2,0,Triangular Asymmetric,Feather,Flake,78.7,70,111,NA,NA,NA,NA,63,NA,38,30,30,+ACM-DIV/0+ACE-,32.67,32.67,23.1
ML+AF8-IR+AF8-210,C,Y,103.7,103.7,52.8,42.4,28,17.4,19,12.2,21.2,Ellipse,13.9,7.2,NA,RT,L,2,2,1,0,Triangular,Feather,Flake,81.7,80,99,60,64,50,NA,50,NA,55,51,67,58,57.67,57.67,19
